TPM,time
76542,0
102204,10
110616,20
122268,30
125136,40
131796,50
143364,60
150120,70
152940,80
152646,90
154572,100
151590,110
126684,120
144960,130
137454,140
153414,150
152118,160
152184,170
153252,180
155934,190
154236,200
158544,210
159432,220
159924,230
152892,240
154716,250
161568,260
152154,270
153786,280
153450,290
153276,300
152664,310
155712,320
153966,330
155034,340
149928,350
151848,360
156330,370
155070,380
149886,390
150000,400
113952,410
132606,420
142056,430
145044,440
149592,450
150540,460
149640,470
152736,480
152790,490
151770,500
149634,510
150030,520
144432,530
150876,540
149724,550
152130,560
147906,570
102798,580
112098,590
111996,600
107262,610
100098,620
99234,630
97434,640
93096,650
88110,660
76830,670
67662,680
68304,690
66966,700
43014,710
