TPM,time
0,0
39420,5
84348,10
109272,15
122748,20
140472,25
148476,30
151344,35
145908,40
165336,45
153600,50
125724,55
121728,60
150096,65
154380,70
161304,75
161868,80
159600,85
168168,90
169116,95
170016,100
169968,105
163776,110
163188,115
163596,120
165444,125
163584,130
164796,135
157068,140
166620,145
163344,150
165144,155
168132,160
166080,165
163404,170
167844,175
165648,180
165660,185
176292,190
130920,195
128388,200
142920,205
148608,210
154716,215
157956,220
150480,225
155940,230
173424,235
160752,240
154056,245
160248,250
145692,255
148260,260
161532,265
158040,270
130632,275
126372,280
144048,285
150072,290
166188,295
157512,300
158520,305
159804,310
162876,315
158880,320
158772,325
160032,330
169536,335
162792,340
159216,345
159372,350
94404,355
