Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717889533,0.00%,31.44MiB / 125.8GiB,866B / 0B,0B / 40.8MB,6
1717889534,0.01%,31.42MiB / 125.8GiB,866B / 0B,0B / 40.8MB,6
1717889536,0.00%,31.42MiB / 125.8GiB,866B / 0B,0B / 40.8MB,6
1717889538,0.00%,31.42MiB / 125.8GiB,866B / 0B,0B / 40.8MB,6
1717889541,0.82%,31.71MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889543,0.00%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889545,0.01%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889547,0.00%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889549,0.00%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889551,0.01%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889553,0.00%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889555,0.01%,31.54MiB / 125.8GiB,936B / 0B,0B / 40.8MB,6
1717889557,0.38%,31.72MiB / 125.8GiB,2.23kB / 1.51kB,0B / 40.8MB,6
1717889559,9.77%,51.01MiB / 125.8GiB,812kB / 13.9kB,0B / 46MB,8
1717889561,56.50%,75.14MiB / 125.8GiB,13.5MB / 78.4kB,0B / 80MB,12
1717889563,106.94%,122.9MiB / 125.8GiB,45.7MB / 197kB,0B / 153MB,16
1717889565,211.54%,188MiB / 125.8GiB,96.3MB / 361kB,4.1kB / 275MB,20
1717889567,284.05%,203.9MiB / 125.8GiB,160MB / 541kB,8.19kB / 424MB,23
1717889569,344.90%,216.1MiB / 125.8GiB,221MB / 678kB,12.3kB / 556MB,27
1717889571,337.04%,226.6MiB / 125.8GiB,271MB / 809kB,16.4kB / 693MB,31
1717889573,367.63%,245.8MiB / 125.8GiB,324MB / 965kB,20.5kB / 815MB,34
1717889575,358.85%,257.5MiB / 125.8GiB,376MB / 1.12MB,24.6kB / 956MB,37
1717889577,371.91%,266.2MiB / 125.8GiB,422MB / 1.25MB,28.7kB / 1.06GB,39
1717889579,371.44%,268.2MiB / 125.8GiB,461MB / 1.37MB,28.7kB / 1.18GB,39
1717889581,438.83%,271.2MiB / 125.8GiB,498MB / 1.49MB,32.8kB / 1.29GB,39
1717889583,379.00%,274.9MiB / 125.8GiB,544MB / 1.62MB,36.9kB / 1.4GB,39
1717889585,248.39%,277.7MiB / 125.8GiB,581MB / 1.73MB,45.1kB / 1.51GB,39
1717889587,326.09%,280.7MiB / 125.8GiB,620MB / 1.85MB,45.1kB / 1.62GB,39
1717889589,215.14%,283.2MiB / 125.8GiB,650MB / 1.95MB,49.2kB / 1.69GB,39
1717889591,1.77%,282.3MiB / 125.8GiB,650MB / 1.95MB,49.2kB / 1.71GB,39
1717889593,71.53%,283.2MiB / 125.8GiB,656MB / 1.98MB,49.2kB / 1.73GB,39
1717889595,104.49%,284.5MiB / 125.8GiB,676MB / 2.04MB,49.2kB / 1.78GB,39
1717889597,187.00%,286.7MiB / 125.8GiB,706MB / 2.13MB,49.2kB / 1.84GB,39
1717889599,157.30%,288.2MiB / 125.8GiB,731MB / 2.2MB,53.2kB / 1.9GB,39
1717889601,24.15%,289.5MiB / 125.8GiB,747MB / 2.25MB,53.2kB / 1.97GB,39
1717889603,98.42%,292MiB / 125.8GiB,759MB / 2.3MB,57.3kB / 2.03GB,39
1717889605,211.05%,293.3MiB / 125.8GiB,781MB / 2.37MB,57.3kB / 2.11GB,39
1717889607,264.15%,295.1MiB / 125.8GiB,806MB / 2.45MB,61.4kB / 2.19GB,39
1717889609,121.51%,298.3MiB / 125.8GiB,827MB / 2.51MB,61.4kB / 2.27GB,39
1717889611,150.39%,299.1MiB / 125.8GiB,847MB / 2.58MB,61.4kB / 2.32GB,39
1717889613,224.39%,301.8MiB / 125.8GiB,870MB / 2.65MB,65.5kB / 2.39GB,39
1717889615,248.41%,303.3MiB / 125.8GiB,905MB / 2.76MB,69.6kB / 2.47GB,39
1717889617,112.70%,304.9MiB / 125.8GiB,932MB / 2.84MB,69.6kB / 2.55GB,39
1717889619,157.57%,307.1MiB / 125.8GiB,963MB / 2.93MB,69.6kB / 2.62GB,39
1717889621,202.01%,309.1MiB / 125.8GiB,988MB / 3.01MB,73.7kB / 2.69GB,39
1717889623,219.85%,311.6MiB / 125.8GiB,1.02GB / 3.09MB,73.7kB / 2.76GB,39
1717889625,175.57%,312.8MiB / 125.8GiB,1.04GB / 3.17MB,73.7kB / 2.83GB,39
1717889627,281.48%,315.9MiB / 125.8GiB,1.08GB / 3.29MB,77.8kB / 2.92GB,39
1717889629,107.91%,317.3MiB / 125.8GiB,1.1GB / 3.35MB,77.8kB / 2.98GB,39
1717889631,36.66%,320.7MiB / 125.8GiB,1.11GB / 3.38MB,77.8kB / 3.01GB,40
1717889633,298.94%,323.1MiB / 125.8GiB,1.14GB / 3.48MB,81.9kB / 3.09GB,40
1717889635,172.36%,325.6MiB / 125.8GiB,1.17GB / 3.56MB,86kB / 3.18GB,40
1717889637,209.22%,328.1MiB / 125.8GiB,1.2GB / 3.65MB,86kB / 3.26GB,40
1717889639,122.15%,330.6MiB / 125.8GiB,1.22GB / 3.72MB,90.1kB / 3.32GB,40
1717889641,153.66%,331.7MiB / 125.8GiB,1.24GB / 3.77MB,90.1kB / 3.36GB,40
1717889643,50.30%,332.4MiB / 125.8GiB,1.25GB / 3.81MB,90.1kB / 3.4GB,40
1717889645,6.06%,334MiB / 125.8GiB,1.26GB / 3.85MB,90.1kB / 3.43GB,40
1717889647,0.35%,335.3MiB / 125.8GiB,1.28GB / 3.9MB,94.2kB / 3.47GB,40
1717889649,10.76%,333.9MiB / 125.8GiB,1.28GB / 3.9MB,94.2kB / 3.47GB,40
1717889651,43.14%,336.3MiB / 125.8GiB,1.29GB / 3.93MB,94.2kB / 3.5GB,40
1717889653,236.96%,338.6MiB / 125.8GiB,1.3GB / 3.98MB,94.2kB / 3.54GB,40
1717889655,212.60%,344.8MiB / 125.8GiB,1.34GB / 4.11MB,98.3kB / 3.64GB,40
1717889657,357.01%,350.9MiB / 125.8GiB,1.39GB / 4.23MB,102kB / 3.74GB,40
1717889659,240.82%,357.4MiB / 125.8GiB,1.41GB / 4.31MB,102kB / 3.82GB,40
1717889661,204.78%,363.3MiB / 125.8GiB,1.44GB / 4.39MB,102kB / 3.88GB,40
1717889663,9.61%,366.8MiB / 125.8GiB,1.45GB / 4.43MB,106kB / 3.92GB,40
1717889665,102.10%,371.5MiB / 125.8GiB,1.47GB / 4.49MB,106kB / 3.97GB,40
1717889667,241.12%,380.1MiB / 125.8GiB,1.5GB / 4.59MB,111kB / 4.04GB,40
1717889669,81.35%,386MiB / 125.8GiB,1.52GB / 4.65MB,111kB / 4.13GB,40
1717889671,215.33%,392.3MiB / 125.8GiB,1.54GB / 4.72MB,111kB / 4.22GB,40
1717889673,197.83%,399.1MiB / 125.8GiB,1.56GB / 4.79MB,115kB / 4.31GB,40
1717889675,244.28%,513.3MiB / 125.8GiB,1.59GB / 4.87MB,115kB / 4.4GB,40
1717889677,82.48%,586.2MiB / 125.8GiB,1.59GB / 4.88MB,115kB / 4.46GB,40
1717889679,1.76%,570.4MiB / 125.8GiB,1.59GB / 4.91MB,119kB / 4.53GB,39
1717889681,0.43%,575.6MiB / 125.8GiB,1.61GB / 4.95MB,119kB / 4.58GB,39
1717889683,163.67%,578.9MiB / 125.8GiB,1.62GB / 5MB,119kB / 4.6GB,39
1717889685,2.27%,578MiB / 125.8GiB,1.62GB / 5MB,119kB / 4.74GB,39
1717889687,38.79%,579.9MiB / 125.8GiB,1.62GB / 5.01MB,119kB / 4.87GB,39
1717889689,1.81%,581.4MiB / 125.8GiB,1.63GB / 5.05MB,123kB / 4.95GB,39
1717889691,143.99%,588.3MiB / 125.8GiB,1.64GB / 5.09MB,123kB / 5GB,40
1717889693,2.44%,587.6MiB / 125.8GiB,1.65GB / 5.09MB,123kB / 5.04GB,40
1717889695,15.49%,594.7MiB / 125.8GiB,1.67GB / 5.16MB,123kB / 5.13GB,40
1717889697,83.07%,599.5MiB / 125.8GiB,1.69GB / 5.21MB,123kB / 5.19GB,40
1717889699,72.03%,607.6MiB / 125.8GiB,1.7GB / 5.26MB,127kB / 5.23GB,40
1717889701,192.44%,616.1MiB / 125.8GiB,1.73GB / 5.35MB,127kB / 5.29GB,40
1717889703,164.20%,631.2MiB / 125.8GiB,1.77GB / 5.46MB,127kB / 5.34GB,40
1717889705,413.64%,652.5MiB / 125.8GiB,1.81GB / 5.58MB,131kB / 5.4GB,40
