TPM,time
0,0
7752,10
3786,20
2172,30
2760,40
3690,50
2502,60
2670,70
3258,80
3312,90
3024,100
3426,110
3612,120
5028,130
4662,140
4062,150
4086,160
4836,170
4962,180
4530,190
4434,200
5646,210
5256,220
5232,230
4542,240
5064,250
4878,260
5946,270
4848,280
5466,290
5826,300
5562,310
4650,320
5880,330
4644,340
5922,350
5202,360
4902,370
6072,380
4158,390
5394,400
4086,410
5148,420
4506,430
3948,440
3774,450
3678,460
4038,470
2478,480
2088,490
4932,500
5928,510
5856,520
4656,530
4758,540
4038,550
3624,560
4554,570
6432,580
4440,590
4278,600
3168,610
2010,620
1764,630
3300,640
2682,650
2898,660
714,670
