Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717874968,0.00%,32.43MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874969,0.01%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874971,0.01%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874973,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874975,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874977,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874979,0.01%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874981,0.01%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874983,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874985,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874987,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874989,0.00%,32.36MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874991,0.01%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874993,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874995,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874997,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717874999,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717875001,0.01%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717875003,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717875005,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717875007,0.00%,32.32MiB / 125.8GiB,936B / 0B,127kB / 41.3MB,6
1717875009,0.97%,32.44MiB / 125.8GiB,2.23kB / 1.51kB,127kB / 41.3MB,6
1717875011,12.85%,48.13MiB / 125.8GiB,7.54kB / 5.34kB,127kB / 45.9MB,7
1717875013,49.11%,69.5MiB / 125.8GiB,9.74MB / 59.3kB,127kB / 73.9MB,11
1717875015,127.58%,114.7MiB / 125.8GiB,40MB / 186kB,127kB / 141MB,15
1717875017,182.64%,171.5MiB / 125.8GiB,84MB / 312kB,131kB / 253MB,18
1717875019,223.86%,201MiB / 125.8GiB,146MB / 507kB,135kB / 385MB,22
1717875021,235.77%,213.1MiB / 125.8GiB,214MB / 638kB,139kB / 525MB,26
1717875023,245.12%,225.6MiB / 125.8GiB,273MB / 776kB,139kB / 665MB,30
1717875025,352.99%,237MiB / 125.8GiB,322MB / 900kB,143kB / 798MB,34
1717875027,155.91%,247.3MiB / 125.8GiB,363MB / 1.01MB,147kB / 907MB,38
1717875029,385.00%,254.7MiB / 125.8GiB,418MB / 1.17MB,147kB / 1.03GB,39
1717875031,272.49%,258MiB / 125.8GiB,461MB / 1.29MB,152kB / 1.15GB,39
1717875033,144.31%,261MiB / 125.8GiB,487MB / 1.36MB,156kB / 1.26GB,39
1717875035,217.09%,263.3MiB / 125.8GiB,520MB / 1.46MB,156kB / 1.37GB,39
1717875037,238.00%,266.9MiB / 125.8GiB,556MB / 1.57MB,156kB / 1.48GB,39
1717875039,410.23%,270.2MiB / 125.8GiB,605MB / 1.7MB,160kB / 1.59GB,39
1717875041,310.33%,273.1MiB / 125.8GiB,641MB / 1.81MB,164kB / 1.72GB,39
1717875043,302.70%,276.3MiB / 125.8GiB,694MB / 1.95MB,168kB / 1.83GB,39
1717875045,126.65%,277.4MiB / 125.8GiB,712MB / 2MB,168kB / 1.89GB,39
1717875047,33.84%,278.9MiB / 125.8GiB,730MB / 2.05MB,172kB / 1.93GB,39
1717875049,132.88%,280.2MiB / 125.8GiB,748MB / 2.11MB,172kB / 1.98GB,39
1717875051,195.77%,281.7MiB / 125.8GiB,764MB / 2.16MB,172kB / 2.02GB,39
1717875053,145.46%,283.6MiB / 125.8GiB,786MB / 2.23MB,176kB / 2.09GB,39
1717875056,179.78%,284.8MiB / 125.8GiB,803MB / 2.28MB,176kB / 2.16GB,39
1717875058,127.95%,286.8MiB / 125.8GiB,824MB / 2.35MB,180kB / 2.22GB,39
1717875060,155.67%,288.7MiB / 125.8GiB,845MB / 2.41MB,180kB / 2.29GB,39
1717875062,254.19%,291.1MiB / 125.8GiB,875MB / 2.51MB,180kB / 2.37GB,39
1717875064,206.88%,292.7MiB / 125.8GiB,898MB / 2.58MB,180kB / 2.44GB,39
1717875066,183.99%,294.1MiB / 125.8GiB,932MB / 2.67MB,184kB / 2.51GB,39
1717875068,164.04%,296.8MiB / 125.8GiB,963MB / 2.76MB,184kB / 2.58GB,39
1717875070,176.80%,298.7MiB / 125.8GiB,988MB / 2.83MB,188kB / 2.64GB,39
1717875072,171.05%,299.8MiB / 125.8GiB,1.01GB / 2.9MB,188kB / 2.7GB,39
1717875074,196.31%,301.9MiB / 125.8GiB,1.04GB / 2.98MB,188kB / 2.78GB,39
1717875076,205.76%,304MiB / 125.8GiB,1.07GB / 3.06MB,193kB / 2.85GB,39
1717875078,197.99%,306.2MiB / 125.8GiB,1.09GB / 3.13MB,193kB / 2.93GB,39
1717875080,150.41%,310MiB / 125.8GiB,1.12GB / 3.21MB,197kB / 2.99GB,40
1717875082,160.30%,311.8MiB / 125.8GiB,1.13GB / 3.25MB,197kB / 3.05GB,40
1717875084,81.47%,312.9MiB / 125.8GiB,1.15GB / 3.3MB,197kB / 3.11GB,40
