Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
0,8.65,0.00,11.8GB / 61.2MB,0.00,10,8
0,58.36,31.75,11.8GB / 61.3MB,0.00,14,8
0,44.56,49.16,11.8GB / 61.4MB,51.20,16,8
0,14.56,55.30,11.8GB / 61.4MB,0.00,16,8
0,15.55,57.35,11.8GB / 61.4MB,0.00,16,8
0,12.71,59.40,11.8GB / 61.4MB,0.00,16,8
0,20.70,62.47,11.8GB / 61.5MB,0.00,16,8
0,24.27,67.59,11.8GB / 61.5MB,0.00,16,8
0,29.26,71.68,11.8GB / 61.6MB,0.00,16,8
0,18.26,74.76,11.8GB / 61.6MB,51.20,16,8
0,15.86,77.83,11.8GB / 61.6MB,0.00,16,8
0,15.09,80.90,11.8GB / 61.7MB,0.00,16,8
0,30.59,85.00,11.8GB / 61.7MB,0.00,16,8
0,13.35,87.04,11.8GB / 61.8MB,0.00,16,8
0,12.67,90.12,11.8GB / 61.8MB,0.00,16,8
0,14.33,91.14,11.8GB / 61.8MB,0.00,16,8
1,8.35,92.16,11.8GB / 61.8MB,0.00,16,8
1,10.88,94.21,11.8GB / 61.8MB,51.20,16,8
1,11.02,95.24,11.8GB / 61.8MB,0.00,16,8
1,14.09,97.28,11.8GB / 61.9MB,0.00,16,8
1,13.87,99.33,11.8GB / 61.9MB,0.00,16,8
1,20.12,103.43,11.8GB / 61.9MB,0.00,16,8
1,23.51,105.48,11.8GB / 61.9MB,0.00,16,8
1,25.59,108.55,11.8GB / 62MB,0.00,16,8
1,15.91,110.60,11.8GB / 62MB,51.20,16,8
1,21.45,114.69,11.8GB / 62.1MB,0.00,16,8
1,12.82,116.74,11.8GB / 62.1MB,0.00,16,8
1,18.23,119.81,11.8GB / 62.1MB,0.00,16,8
1,11.39,120.84,11.8GB / 62.1MB,0.00,16,8
1,8.45,122.88,11.8GB / 62.2MB,0.00,16,8
1,13.95,124.93,11.8GB / 62.2MB,51.20,16,8
1,22.51,128.00,11.8GB / 62.2MB,0.00,16,8
1,27.97,132.10,11.8GB / 62.3MB,0.00,16,8
1,13.04,133.12,11.8GB / 62.3MB,0.00,16,8
1,16.77,136.20,11.8GB / 62.3MB,0.00,16,8
1,16.32,138.24,11.8GB / 62.3MB,0.00,16,8
1,0.93,140.29,11.8GB / 62.3MB,51.20,16,8
1,23.78,143.36,11.8GB / 62.4MB,0.00,16,8
1,21.44,145.41,11.8GB / 62.4MB,0.00,16,8
1,12.85,147.46,11.8GB / 62.4MB,0.00,16,8
1,9.38,148.48,11.8GB / 62.5MB,0.00,16,8
1,13.18,150.53,11.8GB / 62.5MB,0.00,16,8
1,6.35,150.53,11.8GB / 62.5MB,0.00,16,8
1,10.32,153.60,11.8GB / 62.5MB,0.00,16,8
1,8.25,153.60,11.8GB / 62.5MB,0.00,16,8
2,17.15,156.68,11.8GB / 62.6MB,51.20,16,8
2,25.37,158.72,11.8GB / 62.6MB,0.00,16,8
2,14.16,160.77,11.8GB / 62.6MB,0.00,16,8
2,16.06,163.84,11.8GB / 62.6MB,0.00,16,8
2,18.01,165.89,11.8GB / 62.7MB,0.00,16,8
2,18.73,167.94,11.8GB / 62.7MB,0.00,16,8
2,10.26,171.01,11.8GB / 62.7MB,0.00,16,8
2,17.55,173.06,11.8GB / 62.8MB,51.20,16,8
2,20.74,175.11,11.8GB / 62.8MB,0.00,16,8
2,19.93,177.16,11.8GB / 62.8MB,0.00,16,8
2,13.12,179.20,11.8GB / 62.9MB,0.00,16,8
2,9.95,181.25,11.8GB / 62.9MB,0.00,16,8
2,23.26,183.30,11.8GB / 62.9MB,51.20,16,8
2,14.66,185.35,11.8GB / 62.9MB,0.00,16,8
2,29.92,189.44,11.8GB / 63MB,0.00,16,8
2,23.13,190.47,11.8GB / 63MB,0.00,16,8
2,28.52,193.54,11.8GB / 63.1MB,51.20,16,8
2,19.26,196.61,11.8GB / 63.1MB,0.00,16,8
2,16.40,198.66,11.8GB / 63.1MB,0.00,16,8
2,18.23,200.71,11.8GB / 63.2MB,0.00,16,8
2,25.53,203.78,11.8GB / 63.2MB,51.20,16,8
2,15.91,206.85,11.8GB / 63.3MB,0.00,16,8
2,23.32,208.90,11.8GB / 63.3MB,0.00,16,8
2,23.02,210.95,11.8GB / 63.3MB,0.00,16,8
2,24.06,215.04,11.8GB / 63.4MB,51.20,16,8
2,16.04,216.07,11.8GB / 63.4MB,0.00,16,8
2,26.17,219.14,11.8GB / 63.5MB,0.00,16,8
2,21.85,221.19,11.8GB / 63.5MB,51.20,16,8
2,23.97,224.26,11.8GB / 63.6MB,0.00,16,8
2,26.36,226.31,11.8GB / 63.6MB,0.00,16,8
3,18.66,228.36,11.8GB / 63.6MB,0.00,16,8
3,30.24,232.45,11.8GB / 63.7MB,51.20,16,8
3,5.36,234.50,11.8GB / 63.7MB,0.00,16,8
3,10.86,235.52,11.8GB / 63.7MB,0.00,16,8
3,24.50,237.57,11.8GB / 63.8MB,0.00,16,8
3,12.76,239.62,11.8GB / 63.8MB,0.00,16,8
3,19.50,241.67,11.8GB / 63.9MB,51.20,16,8
3,18.38,244.74,11.8GB / 63.9MB,0.00,17,8
3,12.13,244.74,11.8GB / 63.9MB,0.00,16,8
3,20.32,245.76,11.8GB / 63.9MB,0.00,16,8
3,19.55,247.81,11.8GB / 64MB,51.20,16,8
3,20.77,249.86,11.8GB / 64MB,0.00,16,8
3,17.37,251.91,11.8GB / 64.1MB,0.00,16,8
3,7.16,252.93,11.8GB / 64.1MB,0.00,16,8
3,16.14,254.98,11.8GB / 64.1MB,51.20,16,8
3,24.31,258.05,11.8GB / 64.2MB,0.00,16,8
3,26.75,261.12,11.8GB / 64.3MB,0.00,16,8
3,27.74,264.20,11.8GB / 64.3MB,0.00,16,8
3,14.54,265.22,11.8GB / 64.3MB,0.00,16,8
3,21.05,266.24,11.8GB / 64.4MB,51.20,16,8
3,25.51,268.29,11.8GB / 64.4MB,0.00,16,8
3,22.55,269.32,11.8GB / 64.5MB,0.00,16,8
3,30.76,271.36,11.8GB / 64.5MB,0.00,16,8
3,4.24,273.41,11.8GB / 64.5MB,0.00,16,8
3,19.35,274.44,11.8GB / 64.6MB,0.00,16,8
3,21.09,276.48,11.8GB / 64.6MB,0.00,16,8
3,19.82,278.53,11.8GB / 64.7MB,0.00,16,8
3,19.80,279.56,11.8GB / 64.7MB,0.00,16,8
3,35.57,281.60,11.8GB / 64.8MB,51.20,16,8
3,17.17,283.65,11.8GB / 64.8MB,0.00,16,8
4,15.27,283.65,11.8GB / 64.8MB,0.00,16,8
4,11.65,284.68,11.8GB / 64.9MB,0.00,16,8
4,15.78,285.70,11.8GB / 64.9MB,0.00,16,8
4,21.59,288.77,11.8GB / 64.9MB,0.00,16,8
4,19.03,289.80,11.8GB / 65MB,0.00,16,8
4,19.81,290.82,11.8GB / 65MB,0.00,16,8
4,5.10,291.84,11.8GB / 65MB,0.00,16,8
4,23.89,292.87,11.8GB / 65.1MB,51.20,16,8
4,25.09,294.92,11.8GB / 65.1MB,0.00,16,8
4,27.28,296.96,11.8GB / 65.2MB,0.00,16,8
4,37.18,299.01,11.8GB / 65.2MB,0.00,16,8
4,19.62,301.06,11.8GB / 65.3MB,0.00,16,8
4,3.95,302.08,11.8GB / 65.3MB,0.00,16,8
4,10.07,302.08,11.8GB / 65.3MB,0.00,16,8
4,13.78,296.96,11.8GB / 65.4MB,0.00,16,8
4,12.69,293.89,11.8GB / 65.4MB,0.00,16,8
4,25.34,294.92,11.8GB / 65.4MB,0.00,16,8
4,14.62,294.92,11.8GB / 65.5MB,51.20,16,8
4,19.63,296.96,11.8GB / 65.5MB,0.00,16,8
4,11.40,297.99,11.8GB / 65.5MB,0.00,16,8
4,22.52,297.99,11.8GB / 65.6MB,0.00,16,8
4,22.72,300.04,11.8GB / 65.6MB,0.00,16,8
4,15.19,300.04,11.8GB / 65.7MB,0.00,16,8
4,18.29,302.08,11.8GB / 65.7MB,0.00,16,8
4,21.60,303.11,11.8GB / 65.7MB,0.00,16,8
4,22.79,305.16,11.8GB / 65.8MB,0.00,16,8
4,20.84,305.16,11.8GB / 65.8MB,51.20,16,8
4,21.07,306.18,11.8GB / 65.8MB,0.00,16,8
4,26.51,308.23,11.8GB / 65.9MB,0.00,16,8
4,13.24,308.23,11.8GB / 65.9MB,0.00,16,8
5,15.03,309.25,11.8GB / 65.9MB,0.00,16,8
5,19.52,310.28,11.8GB / 66MB,0.00,16,8
5,22.47,311.30,11.8GB / 66MB,0.00,16,8
5,7.56,312.32,11.8GB / 66.1MB,0.00,16,8
5,27.62,313.35,11.8GB / 66.1MB,51.20,16,8
5,20.22,315.40,11.8GB / 66.1MB,0.00,16,8
5,25.42,316.42,11.8GB / 66.2MB,0.00,16,8
5,17.82,317.44,11.8GB / 66.2MB,0.00,16,8
5,12.57,318.47,11.8GB / 66.2MB,0.00,16,8
5,26.12,319.49,11.8GB / 66.3MB,0.00,16,8
5,25.84,320.52,11.8GB / 66.3MB,0.00,16,8
5,9.21,321.54,11.8GB / 66.3MB,51.20,16,8
5,22.01,321.54,11.8GB / 66.4MB,0.00,16,8
5,25.73,322.56,11.8GB / 66.4MB,0.00,16,8
5,21.06,324.61,11.8GB / 66.5MB,0.00,16,8
5,17.23,325.64,11.8GB / 66.5MB,0.00,16,8
5,13.36,327.68,11.8GB / 66.5MB,0.00,16,8
5,27.02,327.68,11.8GB / 66.6MB,0.00,16,8
5,16.61,328.71,11.8GB / 66.6MB,51.20,16,8
5,16.34,330.76,11.8GB / 66.7MB,0.00,16,8
5,19.14,331.78,11.8GB / 66.7MB,0.00,16,8
5,18.50,332.80,11.8GB / 66.7MB,0.00,16,8
5,12.40,333.83,11.8GB / 66.8MB,0.00,16,8
5,22.57,334.85,11.8GB / 66.8MB,0.00,16,8
5,20.84,335.88,11.8GB / 66.9MB,0.00,16,8
