Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
0,11.03,0.00,11.8GB / 60.9MB,0.00,10,8
0,29.88,26.62,11.8GB / 60.9MB,0.00,14,8
0,39.16,45.05,11.8GB / 61MB,51.20,16,8
0,26.29,49.15,11.8GB / 61MB,0.00,16,8
0,22.20,53.25,11.8GB / 61MB,0.00,16,8
0,20.98,57.34,11.8GB / 61.1MB,0.00,16,8
0,30.30,61.44,11.8GB / 61.1MB,0.00,16,8
0,19.02,65.53,11.8GB / 61.1MB,0.00,16,8
0,28.90,70.65,11.8GB / 61.2MB,0.00,16,8
0,24.97,75.77,11.8GB / 61.2MB,51.20,16,8
0,17.95,78.85,11.8GB / 61.3MB,0.00,16,8
0,20.65,81.92,11.8GB / 61.3MB,0.00,16,8
0,20.76,87.04,11.8GB / 61.3MB,0.00,16,8
0,18.99,89.09,11.8GB / 61.4MB,0.00,16,8
0,13.88,92.16,11.8GB / 61.4MB,0.00,16,8
0,18.96,96.25,11.8GB / 61.5MB,0.00,16,8
1,12.47,98.30,11.8GB / 61.5MB,0.00,16,8
1,15.03,103.42,11.8GB / 61.5MB,0.00,16,8
1,13.37,105.47,11.8GB / 61.6MB,51.20,16,8
1,10.96,108.54,11.8GB / 61.6MB,0.00,16,8
1,14.17,110.59,11.8GB / 61.6MB,0.00,16,8
1,22.64,113.66,11.8GB / 61.7MB,0.00,16,8
1,12.33,116.73,11.8GB / 61.7MB,0.00,16,8
1,5.12,116.73,11.8GB / 61.7MB,0.00,16,8
1,21.37,120.83,11.8GB / 61.7MB,0.00,16,8
1,14.61,123.90,11.8GB / 61.8MB,0.00,16,8
1,15.71,125.95,11.8GB / 61.8MB,0.00,16,8
1,10.16,126.97,11.8GB / 61.8MB,0.00,16,8
1,14.05,130.05,11.8GB / 61.8MB,0.00,16,8
1,13.37,131.07,11.8GB / 61.9MB,0.00,16,8
1,13.28,134.14,11.8GB / 61.9MB,0.00,16,8
1,9.41,135.17,11.8GB / 61.9MB,51.20,16,8
1,22.29,138.24,11.8GB / 62MB,0.00,16,8
1,9.10,140.29,11.8GB / 62MB,0.00,16,8
1,17.52,142.33,11.8GB / 62MB,0.00,16,8
1,13.72,144.38,11.8GB / 62.1MB,0.00,16,8
1,23.77,146.43,11.8GB / 62.1MB,0.00,16,8
1,13.73,148.48,11.8GB / 62.1MB,0.00,16,8
1,2.42,148.48,11.8GB / 62.1MB,0.00,16,8
1,22.13,151.55,11.8GB / 62.2MB,0.00,16,8
1,17.19,154.62,11.8GB / 62.2MB,0.00,16,8
1,18.08,156.67,11.8GB / 62.3MB,0.00,16,8
1,9.67,157.69,11.8GB / 62.3MB,0.00,16,8
1,0.51,158.72,11.8GB / 62.3MB,0.00,16,8
1,8.65,158.72,11.8GB / 62.3MB,0.00,16,8
2,22.63,161.79,11.8GB / 62.3MB,0.00,16,8
2,15.91,162.81,11.8GB / 62.4MB,51.20,16,8
2,15.33,164.86,11.8GB / 62.4MB,0.00,16,8
2,13.14,165.89,11.8GB / 62.4MB,0.00,16,8
2,10.25,166.91,11.8GB / 62.5MB,0.00,16,8
2,20.50,169.98,11.8GB / 62.5MB,0.00,16,8
2,17.64,171.01,11.8GB / 62.5MB,0.00,16,8
2,10.60,172.03,11.8GB / 62.6MB,0.00,16,8
2,2.95,173.05,11.8GB / 62.6MB,0.00,16,8
2,18.59,175.10,11.8GB / 62.6MB,0.00,16,8
2,19.52,177.15,11.8GB / 62.6MB,0.00,16,8
2,14.89,178.17,11.8GB / 62.7MB,0.00,16,8
2,23.59,180.22,11.8GB / 62.7MB,0.00,16,8
2,16.93,181.25,11.8GB / 62.7MB,0.00,16,8
2,11.84,183.29,11.8GB / 62.8MB,0.00,16,8
2,12.66,184.32,11.8GB / 62.8MB,0.00,16,8
2,14.61,185.34,11.8GB / 62.8MB,0.00,16,8
2,23.46,187.39,11.8GB / 62.8MB,0.00,16,8
2,5.01,188.41,11.8GB / 62.9MB,51.20,16,8
2,12.41,189.44,11.8GB / 62.9MB,0.00,16,8
2,16.79,190.46,11.8GB / 62.9MB,0.00,16,8
2,13.35,191.49,11.8GB / 62.9MB,0.00,16,8
2,3.88,191.49,11.8GB / 63MB,0.00,16,8
2,11.64,192.51,11.8GB / 63MB,0.00,16,8
2,15.46,195.58,11.8GB / 63MB,0.00,16,8
2,4.94,194.56,11.8GB / 63MB,0.00,16,8
2,16.01,198.65,11.8GB / 63.1MB,0.00,16,8
2,15.11,199.68,11.8GB / 63.1MB,0.00,16,8
2,3.05,199.68,11.8GB / 63.1MB,0.00,16,8
2,11.03,200.70,11.8GB / 63.1MB,0.00,16,8
2,0.99,201.73,11.8GB / 63.2MB,0.00,16,8
3,18.65,201.73,11.8GB / 63.2MB,51.20,16,8
3,13.71,203.77,11.8GB / 63.2MB,0.00,16,8
3,4.58,203.77,11.8GB / 63.2MB,0.00,16,8
3,18.49,205.82,11.8GB / 63.3MB,0.00,16,8
3,20.84,206.85,11.8GB / 63.3MB,0.00,16,8
3,21.41,208.89,11.8GB / 63.3MB,0.00,16,8
3,8.51,208.89,11.8GB / 63.3MB,0.00,16,8
3,16.08,210.94,11.8GB / 63.4MB,0.00,16,8
3,10.96,211.97,11.8GB / 63.4MB,0.00,16,8
3,20.80,212.99,11.8GB / 63.5MB,0.00,16,8
3,20.92,215.04,11.8GB / 63.5MB,0.00,16,8
3,0.62,216.06,11.8GB / 63.5MB,0.00,16,8
3,4.35,216.06,11.8GB / 63.5MB,0.00,16,8
3,3.72,216.06,11.8GB / 63.5MB,0.00,16,8
3,16.30,217.09,11.8GB / 63.6MB,0.00,16,8
3,12.97,219.13,11.8GB / 63.6MB,0.00,16,8
3,16.74,219.13,11.8GB / 63.6MB,51.20,16,8
