Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717857435,0.00%,1012MiB / 125.4GiB,0B / 0B,0B / 41.2MB,6
1717857437,0.00%,1012MiB / 125.4GiB,0B / 0B,0B / 41.2MB,6
1717857439,0.01%,1012MiB / 125.4GiB,1.36kB / 1.59kB,0B / 41.2MB,6
1717857441,109.97%,1.036GiB / 125.4GiB,19.6MB / 111kB,0B / 86.3MB,10
1717857443,177.86%,1.106GiB / 125.4GiB,71.4MB / 288kB,0B / 216MB,14
1717857445,328.41%,1.184GiB / 125.4GiB,168MB / 536kB,4.1kB / 449MB,18
1717857447,445.36%,1.301GiB / 125.4GiB,304MB / 827kB,4.1kB / 821MB,22
1717857449,736.85%,1.452GiB / 125.4GiB,484MB / 1.26MB,4.1kB / 1.37GB,26
1717857451,954.88%,1.628GiB / 125.4GiB,713MB / 1.83MB,4.1kB / 2.06GB,30
1717857453,1200.63%,1.825GiB / 125.4GiB,984MB / 2.44MB,4.1kB / 3.24GB,35
1717857455,1369.21%,2.041GiB / 125.4GiB,1.27GB / 3.2MB,4.1kB / 4.02GB,39
1717857457,1032.38%,2.174GiB / 125.4GiB,1.44GB / 3.75MB,4.1kB / 4.6GB,40
1717857459,1268.19%,2.298GiB / 125.4GiB,1.66GB / 4.48MB,8.19kB / 5.29GB,40
1717857461,1310.26%,2.425GiB / 125.4GiB,1.85GB / 5.1MB,16.4kB / 5.98GB,40
1717857463,719.75%,2.56GiB / 125.4GiB,2.06GB / 5.76MB,16.4kB / 6.7GB,40
1717857465,1394.52%,2.698GiB / 125.4GiB,2.25GB / 6.39MB,20.5kB / 7.33GB,40
1717857467,810.09%,2.825GiB / 125.4GiB,2.41GB / 6.94MB,24.6kB / 8.07GB,40
1717857469,1527.83%,2.976GiB / 125.4GiB,2.66GB / 7.75MB,24.6kB / 8.89GB,40
1717857471,850.76%,3.041GiB / 125.4GiB,2.77GB / 8.12MB,24.6kB / 9.51GB,40
1717857473,1108.50%,3.158GiB / 125.4GiB,2.99GB / 8.74MB,24.6kB / 10.3GB,40
1717857475,1216.27%,3.287GiB / 125.4GiB,3.16GB / 9.3MB,24.6kB / 11.1GB,40
1717857477,633.14%,3.419GiB / 125.4GiB,3.31GB / 9.75MB,24.6kB / 11.8GB,40
1717857479,1311.74%,3.57GiB / 125.4GiB,3.52GB / 10.4MB,24.6kB / 12.7GB,40
1717857481,1066.79%,3.649GiB / 125.4GiB,3.67GB / 10.9MB,24.6kB / 13.5GB,40
1717857483,716.40%,3.715GiB / 125.4GiB,3.83GB / 11.4MB,24.6kB / 14.3GB,40
1717857485,1305.05%,3.871GiB / 125.4GiB,4.05GB / 12.1MB,24.6kB / 15.4GB,40
1717857487,1319.82%,4.048GiB / 125.4GiB,4.27GB / 12.8MB,24.6kB / 16.7GB,40
1717857489,1145.24%,4.279GiB / 125.4GiB,4.51GB / 13.5MB,24.6kB / 18.1GB,40
1717857491,1039.57%,4.452GiB / 125.4GiB,4.75GB / 14.2MB,24.6kB / 19.5GB,40
1717857493,905.17%,4.661GiB / 125.4GiB,5.02GB / 14.8MB,24.6kB / 20.8GB,40
1717857495,371.45%,4.767GiB / 125.4GiB,5.14GB / 15.1MB,24.6kB / 21.1GB,40
1717857497,143.76%,4.87GiB / 125.4GiB,5.2GB / 15.3MB,24.6kB / 21.2GB,40
1717857499,60.07%,4.889GiB / 125.4GiB,5.22GB / 15.3MB,24.6kB / 21.3GB,40
1717857501,70.74%,4.905GiB / 125.4GiB,5.23GB / 15.4MB,24.6kB / 21.4GB,40
1717857503,436.66%,4.986GiB / 125.4GiB,5.33GB / 15.6MB,24.6kB / 21.7GB,40
1717857505,726.37%,5.079GiB / 125.4GiB,5.52GB / 16.1MB,24.6kB / 22.6GB,39
1717857507,630.15%,5.357GiB / 125.4GiB,5.75GB / 16.7MB,32.8kB / 23.6GB,39
1717857509,609.57%,5.573GiB / 125.4GiB,5.96GB / 17.1MB,41kB / 24.5GB,39
1717857511,628.95%,5.842GiB / 125.4GiB,6.2GB / 17.7MB,41kB / 25GB,39
1717857513,597.75%,6.116GiB / 125.4GiB,6.45GB / 18.2MB,41kB / 25.6GB,40
1717857515,618.49%,6.385GiB / 125.4GiB,6.69GB / 18.8MB,41kB / 26.2GB,40
1717857517,619.03%,6.652GiB / 125.4GiB,6.93GB / 19.3MB,45.1kB / 26.8GB,40
1717857519,630.06%,6.912GiB / 125.4GiB,7.16GB / 19.8MB,53.2kB / 27.3GB,40
1717857521,631.09%,7.18GiB / 125.4GiB,7.4GB / 20.3MB,61.4kB / 28GB,40
1717857523,753.17%,7.438GiB / 125.4GiB,7.63GB / 21MB,61.4kB / 28.6GB,40
1717857525,895.81%,7.691GiB / 125.4GiB,7.83GB / 21.7MB,61.4kB / 29.2GB,40
1717857527,949.91%,7.927GiB / 125.4GiB,8.02GB / 22.4MB,61.4kB / 29.8GB,40
1717857529,1071.11%,8.154GiB / 125.4GiB,8.18GB / 23.2MB,61.4kB / 30.4GB,40
1717857531,1232.58%,8.356GiB / 125.4GiB,8.31GB / 24MB,61.4kB / 31GB,40
1717857533,1318.12%,8.538GiB / 125.4GiB,8.41GB / 24.9MB,61.4kB / 31.5GB,40
1717857535,1325.18%,8.719GiB / 125.4GiB,8.51GB / 25.8MB,61.4kB / 32GB,40
1717857537,1317.21%,8.889GiB / 125.4GiB,8.61GB / 26.7MB,65.5kB / 32.7GB,40
1717857539,1310.59%,9.069GiB / 125.4GiB,8.71GB / 27.5MB,65.5kB / 33.1GB,40
1717857541,1342.38%,9.25GiB / 125.4GiB,8.81GB / 28.4MB,65.5kB / 33.8GB,40
1717857543,1303.96%,9.425GiB / 125.4GiB,8.91GB / 29.3MB,65.5kB / 34.3GB,40
1717857545,1345.07%,9.608GiB / 125.4GiB,9.01GB / 30.2MB,65.5kB / 34.8GB,40
1717857547,1354.67%,9.78GiB / 125.4GiB,9.11GB / 31MB,65.5kB / 35.4GB,40
