Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
0,282.68,0.00,11.8GB / 57.4MB,409.60,13,8
0,580.41,61.44,11.8GB / 58.4MB,768.00,16,8
0,25.05,71.68,11.8GB / 58.7MB,204.80,16,8
0,6.66,71.68,11.8GB / 58.7MB,0.00,16,8
0,8.14,71.68,11.8GB / 58.7MB,0.00,16,8
0,10.59,71.68,11.8GB / 58.7MB,0.00,16,8
0,24.49,71.68,11.8GB / 58.8MB,0.00,16,8
0,11.08,71.68,11.8GB / 58.8MB,0.00,16,8
0,571.66,92.16,11.8GB / 59.8MB,409.60,17,8
0,557.32,102.40,11.8GB / 61MB,307.20,17,8
0,527.47,112.64,11.8GB / 62.3MB,102.40,17,8
0,559.86,112.64,11.8GB / 63.4MB,358.40,17,8
0,548.04,122.88,11.8GB / 64.7MB,256.00,17,8
0,529.77,122.88,11.8GB / 66MB,153.60,17,8
0,554.37,122.88,11.8GB / 67.3MB,256.00,17,8
1,548.42,133.12,11.8GB / 68.5MB,256.00,17,8
1,543.42,133.12,11.8GB / 69.8MB,204.80,17,8
1,548.42,133.12,11.8GB / 71.1MB,153.60,17,8
1,555.90,133.12,11.8GB / 72.3MB,307.20,17,8
1,545.43,143.36,11.8GB / 73.6MB,204.80,17,8
1,530.56,143.36,11.8GB / 74.9MB,102.40,17,8
1,555.43,143.36,11.8GB / 76.2MB,358.40,17,8
1,548.67,153.60,11.8GB / 77.4MB,204.80,17,8
1,541.74,153.60,11.8GB / 78.7MB,153.60,17,8
1,548.22,153.60,11.8GB / 80MB,204.80,17,8
1,554.09,153.60,11.8GB / 81.3MB,307.20,17,8
1,549.29,163.84,11.8GB / 82.6MB,204.80,17,8
1,538.57,163.84,11.8GB / 83.9MB,102.40,17,8
1,556.72,163.84,11.8GB / 85.2MB,307.20,17,8
1,557.65,163.84,11.8GB / 86.4MB,256.00,17,8
1,600.27,174.08,11.8GB / 87.7MB,204.80,17,8
1,564.40,174.08,11.8GB / 89MB,256.00,17,8
1,555.45,184.32,11.8GB / 90.2MB,307.20,17,8
1,546.22,184.32,11.8GB / 91.5MB,153.60,17,8
1,569.17,194.56,11.8GB / 92.7MB,256.00,17,8
1,556.66,204.80,11.8GB / 94MB,256.00,17,8
1,547.30,204.80,11.8GB / 95.3MB,153.60,17,8
1,620.95,225.28,11.8GB / 96.5MB,307.20,18,8
1,556.14,215.04,11.8GB / 97.8MB,256.00,17,8
1,554.32,225.28,11.8GB / 99.1MB,204.80,17,8
1,566.72,225.28,11.8GB / 100MB,256.00,17,8
1,556.39,225.28,11.9GB / 102MB,204.80,17,8
1,554.77,235.52,11.9GB / 103MB,153.60,17,8
1,555.25,235.52,11.9GB / 104MB,307.20,17,8
1,562.36,245.76,11.9GB / 106MB,256.00,17,8
2,551.10,245.76,11.9GB / 107MB,153.60,17,8
2,537.28,245.76,11.9GB / 108MB,204.80,17,8
2,562.61,256.00,11.9GB / 109MB,307.20,17,8
2,555.38,256.00,11.9GB / 111MB,204.80,17,8
2,545.08,256.00,11.9GB / 112MB,204.80,17,8
2,565.01,266.24,11.9GB / 113MB,256.00,17,8
2,553.99,266.24,11.9GB / 115MB,256.00,17,8
2,545.00,276.48,11.9GB / 116MB,153.60,17,8
2,563.77,276.48,11.9GB / 117MB,204.80,17,8
2,562.17,276.48,11.9GB / 118MB,307.20,17,8
2,548.79,286.72,11.9GB / 120MB,153.60,17,8
2,543.70,286.72,11.9GB / 121MB,153.60,17,8
2,567.38,296.96,11.9GB / 122MB,358.40,17,8
2,551.10,296.96,11.9GB / 124MB,204.80,17,8
2,540.46,296.96,11.9GB / 125MB,153.60,17,8
2,568.78,307.20,11.9GB / 126MB,358.40,17,8
2,549.06,307.20,11.9GB / 128MB,204.80,17,8
2,545.66,307.20,11.9GB / 129MB,153.60,17,8
2,570.91,317.44,11.9GB / 130MB,307.20,17,8
2,556.23,317.44,11.9GB / 132MB,256.00,17,8
2,546.80,317.44,11.9GB / 133MB,153.60,17,8
2,567.28,327.68,11.9GB / 134MB,256.00,17,8
2,575.89,368.64,11.9GB / 136MB,256.00,18,8
2,563.79,409.60,11.9GB / 137MB,307.20,18,8
2,586.35,440.32,11.9GB / 138MB,460.80,18,8
2,590.12,481.28,11.9GB / 139MB,409.60,20,8
2,925.32,532.48,11.9GB / 140MB,358.40,22,8
2,174.18,491.52,11.9GB / 140MB,102.40,19,8
2,4.51,512.00,11.9GB / 140MB,0.00,19,8
2,141.66,563.20,11.9GB / 140MB,51.20,21,8
3,71.65,481.28,11.9GB / 140MB,0.00,17,8
3,112.99,624.64,11.9GB / 140MB,51.20,23,8
3,1078.19,583.68,11.9GB / 141MB,153.60,22,8
3,1358.31,665.60,11.9GB / 141MB,51.20,24,8
3,1321.56,665.60,11.9GB / 141MB,102.40,24,8
3,1364.29,614.40,11.9GB / 141MB,51.20,21,8
3,1337.09,614.40,11.9GB / 141MB,51.20,24,8
3,1392.02,604.16,11.9GB / 141MB,51.20,22,8
3,1370.56,665.60,11.9GB / 142MB,51.20,24,8
3,1385.07,614.40,11.9GB / 142MB,51.20,24,8
3,1323.03,614.40,11.9GB / 142MB,51.20,23,8
3,1399.27,624.64,11.9GB / 142MB,51.20,22,8
3,1380.70,645.12,11.9GB / 142MB,0.00,22,8
3,1365.63,593.92,11.9GB / 142MB,51.20,21,8
3,1355.26,645.12,11.9GB / 143MB,51.20,24,8
3,1378.68,675.84,11.9GB / 143MB,51.20,24,8
3,1372.39,686.08,11.9GB / 143MB,51.20,24,8
3,1370.84,675.84,11.9GB / 143MB,51.20,24,8
3,1363.01,645.12,11.9GB / 143MB,0.00,23,8
3,1322.84,624.64,11.9GB / 143MB,0.00,24,8
3,1388.80,686.08,11.9GB / 144MB,51.20,24,8
3,1364.83,686.08,11.9GB / 144MB,0.00,24,8
3,1197.21,532.48,11.9GB / 144MB,153.60,17,8
3,573.42,532.48,11.9GB / 145MB,614.40,17,8
3,561.38,532.48,11.9GB / 147MB,358.40,17,8
3,537.90,532.48,11.9GB / 148MB,153.60,17,8
3,564.92,542.72,11.9GB / 149MB,409.60,17,8
3,554.68,542.72,11.9GB / 151MB,204.80,17,8
3,536.35,542.72,11.9GB / 152MB,153.60,17,8
4,566.82,542.72,11.9GB / 153MB,358.40,17,8
4,549.25,552.96,11.9GB / 155MB,256.00,17,8
4,544.13,552.96,11.9GB / 156MB,153.60,17,8
4,572.37,552.96,11.9GB / 157MB,307.20,17,8
4,556.55,552.96,11.9GB / 159MB,256.00,17,8
4,549.61,563.20,11.9GB / 160MB,153.60,17,8
4,572.80,563.20,11.9GB / 161MB,256.00,17,8
4,562.78,563.20,11.9GB / 163MB,307.20,17,8
4,556.32,563.20,11.9GB / 164MB,204.80,17,8
4,595.04,563.20,11.9GB / 165MB,256.00,17,8
4,610.59,573.44,11.9GB / 167MB,256.00,17,8
4,608.34,573.44,11.9GB / 168MB,204.80,17,8
4,610.98,573.44,11.9GB / 169MB,256.00,17,8
4,570.42,573.44,11.9GB / 170MB,307.20,17,8
4,551.72,573.44,11.9GB / 172MB,256.00,17,8
4,554.10,583.68,11.9GB / 173MB,307.20,17,8
4,565.58,552.96,11.9GB / 174MB,256.00,16,8
4,549.36,563.20,11.9GB / 176MB,307.20,16,8
4,541.75,563.20,11.9GB / 177MB,204.80,16,8
4,558.08,563.20,11.9GB / 178MB,204.80,16,8
4,547.78,563.20,11.9GB / 180MB,307.20,16,8
4,536.42,563.20,11.9GB / 181MB,0.00,16,8
4,550.88,573.44,11.9GB / 182MB,512.00,16,8
4,571.88,614.40,11.9GB / 183MB,0.00,17,8
4,558.26,593.92,11.9GB / 185MB,512.00,17,8
4,582.82,604.16,11.9GB / 186MB,0.00,17,8
4,593.96,614.40,11.9GB / 187MB,512.00,17,8
4,585.05,634.88,11.9GB / 189MB,0.00,16,8
4,542.70,634.88,11.9GB / 190MB,512.00,16,8
4,534.20,634.88,11.9GB / 191MB,0.00,16,8
4,539.54,634.88,11.9GB / 193MB,0.00,16,8
5,545.60,634.88,11.9GB / 194MB,512.00,16,8
5,536.62,645.12,11.9GB / 195MB,0.00,16,8
5,529.89,645.12,11.9GB / 197MB,512.00,16,8
5,546.73,645.12,11.9GB / 198MB,0.00,16,8
5,537.82,645.12,11.9GB / 199MB,0.00,16,8
5,529.44,645.12,11.9GB / 201MB,512.00,16,8
5,545.28,655.36,11.9GB / 202MB,0.00,16,8
