Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717863362,0.00%,31.78MiB / 125.4GiB,0B / 0B,0B / 41MB,6
1717863363,0.01%,31.78MiB / 125.4GiB,0B / 0B,0B / 41MB,6
1717863365,0.49%,31.89MiB / 125.4GiB,1.29kB / 1.51kB,0B / 41MB,6
1717863367,77.36%,66.48MiB / 125.4GiB,10.1MB / 66.8kB,0B / 73.5MB,9
1717863369,137.32%,123MiB / 125.4GiB,52.6MB / 211kB,0B / 178MB,13
1717863371,284.58%,190.8MiB / 125.4GiB,134MB / 433kB,0B / 381MB,17
1717863373,489.69%,210.9MiB / 125.4GiB,264MB / 713kB,0B / 725MB,21
1717863375,770.51%,233.2MiB / 125.4GiB,437MB / 1.08MB,4.1kB / 1.16GB,25
1717863377,1002.53%,255.4MiB / 125.4GiB,619MB / 1.7MB,4.1kB / 1.68GB,29
1717863379,1063.16%,277.6MiB / 125.4GiB,809MB / 2.4MB,28.7kB / 2.2GB,33
1717863381,1060.75%,292.8MiB / 125.4GiB,960MB / 3.01MB,41kB / 3.35GB,37
1717863384,1454.17%,305.7MiB / 125.4GiB,1.18GB / 3.92MB,49.2kB / 3.7GB,40
1717863386,908.23%,329.5MiB / 125.4GiB,1.33GB / 4.56MB,53.2kB / 4.47GB,40
1717863388,1287.42%,346.4MiB / 125.4GiB,1.52GB / 5.39MB,57.3kB / 4.77GB,40
1717863390,1012.39%,382.4MiB / 125.4GiB,1.68GB / 6.08MB,61.4kB / 5.61GB,40
1717863392,1306.63%,444.1MiB / 125.4GiB,1.86GB / 6.84MB,65.5kB / 5.91GB,40
1717863394,1072.24%,475.4MiB / 125.4GiB,2.03GB / 7.54MB,73.7kB / 6.85GB,40
1717863396,1018.73%,494.4MiB / 125.4GiB,2.16GB / 8.11MB,77.8kB / 7.09GB,40
1717863398,1175.19%,516.3MiB / 125.4GiB,2.32GB / 8.78MB,86kB / 8.03GB,40
1717863400,958.70%,534MiB / 125.4GiB,2.44GB / 9.3MB,90.1kB / 8.27GB,40
1717863402,1096.55%,553.8MiB / 125.4GiB,2.6GB / 9.96MB,94.2kB / 8.54GB,40
1717863404,1002.00%,574.4MiB / 125.4GiB,2.74GB / 10.6MB,98.3kB / 9.36GB,40
1717863406,1100.83%,598.5MiB / 125.4GiB,2.9GB / 11.2MB,102kB / 9.64GB,40
1717863408,971.42%,613.3MiB / 125.4GiB,3.03GB / 11.8MB,111kB / 10.6GB,40
1717863410,954.83%,626.8MiB / 125.4GiB,3.14GB / 12.3MB,115kB / 10.9GB,40
1717863412,991.05%,641.6MiB / 125.4GiB,3.27GB / 12.9MB,119kB / 11.8GB,40
1717863414,1034.13%,654.2MiB / 125.4GiB,3.41GB / 13.5MB,123kB / 12.1GB,40
1717863416,992.73%,667.9MiB / 125.4GiB,3.55GB / 14.1MB,135kB / 13.1GB,40
1717863418,815.62%,678.5MiB / 125.4GiB,3.66GB / 14.5MB,139kB / 13.4GB,40
1717863420,1215.97%,697.1MiB / 125.4GiB,3.81GB / 15.1MB,139kB / 14.5GB,40
1717863422,1075.51%,716MiB / 125.4GiB,3.95GB / 15.7MB,147kB / 14.8GB,40
1717863424,1043.87%,735.5MiB / 125.4GiB,4.1GB / 16.4MB,156kB / 15.9GB,40
1717863426,1275.74%,756MiB / 125.4GiB,4.27GB / 17.1MB,160kB / 16.3GB,40
1717863428,1139.43%,790.7MiB / 125.4GiB,4.44GB / 17.7MB,168kB / 17.4GB,40
1717863430,1066.95%,822.8MiB / 125.4GiB,4.61GB / 18.4MB,176kB / 18.5GB,40
1717863432,1046.34%,848MiB / 125.4GiB,4.78GB / 19.1MB,184kB / 18.9GB,40
1717863434,1104.59%,924.8MiB / 125.4GiB,4.95GB / 19.8MB,197kB / 19.8GB,40
1717863436,913.83%,961.5MiB / 125.4GiB,5.17GB / 20.7MB,209kB / 21.1GB,40
1717863438,846.90%,1010MiB / 125.4GiB,5.4GB / 21.3MB,217kB / 22.4GB,40
1717863440,764.10%,1015MiB / 125.4GiB,5.63GB / 21.9MB,229kB / 23GB,40
1717863442,387.72%,1004MiB / 125.4GiB,5.8GB / 22.3MB,233kB / 24GB,39
1717863444,116.64%,1007MiB / 125.4GiB,5.82GB / 22.4MB,238kB / 24.1GB,40
1717863446,100.86%,1008MiB / 125.4GiB,5.83GB / 22.4MB,238kB / 24.1GB,40
1717863448,223.75%,1010MiB / 125.4GiB,5.88GB / 22.6MB,238kB / 24.2GB,40
1717863450,707.54%,1011MiB / 125.4GiB,6.06GB / 23.1MB,238kB / 24.4GB,40
1717863452,599.60%,1020MiB / 125.4GiB,6.26GB / 23.6MB,246kB / 24.7GB,40
1717863454,660.28%,1.002GiB / 125.4GiB,6.45GB / 24.1MB,246kB / 25.1GB,40
1717863456,634.95%,1.01GiB / 125.4GiB,6.69GB / 24.8MB,246kB / 25.4GB,40
1717863458,652.55%,1.019GiB / 125.4GiB,6.93GB / 25.5MB,246kB / 26.4GB,40
1717863460,655.94%,1.028GiB / 125.4GiB,7.16GB / 26.1MB,246kB / 26.6GB,40
1717863462,750.58%,1.036GiB / 125.4GiB,7.38GB / 26.8MB,246kB / 27.7GB,40
1717863464,755.06%,1.045GiB / 125.4GiB,7.6GB / 27.5MB,246kB / 27.9GB,40
