TPM,time
0,0
98868,10
94722,20
190404,30
185022,40
188184,50
195192,60
195552,70
189468,80
185880,90
197502,100
193146,110
186192,120
195900,130
198048,140
188400,150
191502,160
169206,170
53382,180
6960,190
11550,200
11976,210
13758,220
94356,230
187326,240
196740,250
188550,260
190260,270
194862,280
171276,290
193464,300
190044,310
190530,320
199554,330
193350,340
178374,350
192786,360
186474,370
196878,380
199728,390
186966,400
194568,410
197448,420
186480,430
200016,440
196440,450
185658,460
192642,470
181128,480
180036,490
197892,500
185490,510
197430,520
186732,530
177954,540
185076,550
179766,560
178794,570
186954,580
181566,590
171342,600
18498,610
