TPM,time
6,0
9750,10
80394,20
83868,30
86244,40
79074,50
77124,60
77970,70
83580,80
85914,90
73518,100
89574,110
95712,120
95154,130
95730,140
103260,150
99246,160
97932,170
102234,180
85194,190
88890,200
94710,210
96948,220
94578,230
95886,240
100950,250
100200,260
100374,270
98844,280
104862,290
101586,300
94098,310
93102,320
95988,330
93132,340
97440,350
100104,360
99660,370
100662,380
100860,390
101358,400
101652,410
101214,420
104766,430
98616,440
100230,450
98166,460
96750,470
100374,480
99324,490
99492,500
102102,510
98556,520
99162,530
100836,540
98274,550
100236,560
99624,570
102126,580
100050,590
100008,600
78360,610
83322,620
41700,630
