TPM,time
6,0
47082,10
137136,20
42150,30
145848,40
139176,50
144540,60
142818,70
139614,80
138906,90
116358,100
137214,110
135018,120
122208,130
64848,140
142524,150
142542,160
142572,170
143226,180
131304,190
144420,200
141690,210
142488,220
139830,230
90090,240
97914,250
129294,260
144768,270
149232,280
140544,290
131778,300
141618,310
135702,320
161094,330
125910,340
52158,350
129432,360
146724,370
138786,380
132996,390
141252,400
144774,410
125796,420
144366,430
139230,440
128322,450
43548,460
140688,470
145878,480
151380,490
124386,500
128526,510
145626,520
140304,530
127686,540
125454,550
143574,560
40944,570
134628,580
133704,590
130230,600
25320,610
